sheet,column,gap_status,candidate_current_tables,candidate_any_schema,rationale
Header,Get Advance,FILLABLE_FROM_CURRENT_ERP_TABLES,Transaction_Header_Table.AdvanceAmount; Transaction_ItemBody_Table.AdvanceLicense; Transaction_Payments_Table.TDSAdvanceAmount,AdvanceLicenseDetails_Table.AdvanceLicenseNo; Employee_PaydetailsBySimplePaystructure_Table.Advance; Employee_SimplePaystructureDetails_Table.Advance; RoomAdditionalAdvanceDetails_Table.AdvanceAccount; RoomCheckinDetails_Table.AdvanceAccount; RoomCheckinDetails_Table.AdvanceAmount; RoomCheckoutDetails_Table.Advance; RoomReservationDetails_Table.AdvanceAccount; RoomReservationDetails_Table.AdvanceAmount; ServiceBooking_Header_Table.AdvanceAmount; Transaction_ExportDetails_Table.WithAdvance; Transaction_Header_Table.AdvanceAmount,Matching column(s) exist in current connector table set.
Header,Adv Set Off,FILLABLE_WITH_SCHEMA_EXTENSIONS,,Employee_PaydetailsBySimplePaystructure_Table.Advance; Employee_SimplePaystructureDetails_Table.Advance; RoomCheckoutDetails_Table.Advance,Matching column(s) exist in ERP schema but outside current connector table set.
Header,Taxes,FILLABLE_FROM_CURRENT_ERP_TABLES,Transaction_Header_Table.Taxes; Transaction_ItemBody_Table.Code,Asset_Components_Table.Component; Assets_ComponentDetails_Table.Component; AssetSale_Header_Table.Taxes; AssetSale_ItemBody_Table.Code; AssetsFinal_08012021.CODE; ConsumablesIssuebody_table.Code; LastYearInformation_Body_Table.Code; Master_Preferences_Table.Taxes; Master_Preferences_Tablebak.Taxes; PendingDetails_Table.Tax; PendingDetails_Table_202210121.Tax; PreviousYear_POSPartyDetails_Table.Taxes,Matching column(s) exist in current connector table set.
Header,Price List,FILLABLE_FROM_CURRENT_ERP_TABLES,Transaction_Header_Table.PriceList; Transaction_ItemBody_Table.ProductPriceList,AssetSale_Header_Table.PriceList; Master_Preferences_Table.PriceList; Master_Preferences_Tablebak.PriceList; Master_Prices_Table.PriceList; Master_UnitWisePrices_Table.PriceList; PreviousYear_POSPartyDetails_Table.PriceList; PreviousYear_POSSales_Table.ProductPriceList; Pricelist_Rate_table.PriceList; ProductMarginDetails_Table.WholesalePriceList; ProductMarginDetails_Table.RetailPriceList; Transaction_Header_Table.PriceList; Transaction_ItemBody_Table.ProductPriceList,Matching column(s) exist in current connector table set.
Header,Fill Order Details,FILLABLE_WITH_SCHEMA_EXTENSIONS,,GST3B_EligibleITCBody_Table.Details; SaudaItemDetails_Table.RD,Matching column(s) exist in ERP schema but outside current connector table set.
Header,MR VNo,FILLABLE_WITH_SCHEMA_EXTENSIONS,,BillWiseBalances2020.Vno; billwiseOpeningBalances.Vno; LastYearCreditorBalances.Vno; OldYearCreditorsBillWiseBalances.Vno; OpeningUnClearedCheques.VNo; recbleforemail.Vno; TempDailyDespatch.Vno; Transaction_EInvResponse_Table.Vno; Transaction_EWBResponse_Table.Vno,Matching column(s) exist in ERP schema but outside current connector table set.
Header,Fill MR Details,FILLABLE_WITH_SCHEMA_EXTENSIONS,,GST3B_EligibleITCBody_Table.Details; SaudaItemDetails_Table.RD,Matching column(s) exist in ERP schema but outside current connector table set.
Header,Fill Item Body,FILLABLE_WITH_SCHEMA_EXTENSIONS,,KOT_CancellationOrBill_Table.Item; KOT_ItemBodyDetails_Table.Item; Patient_TreatmentAdvice_Table.Item; ScheduleEmailConfiguration_Table.Body,Matching column(s) exist in ERP schema but outside current connector table set.
Header,Fill Adjustments,REQUIRES_NEW_FIELD_OR_TABLE,,,No close column match found in full script.sql schema.
Header,Agent,FILLABLE_FROM_CURRENT_ERP_TABLES,Transaction_Header_Table.Agent,AutoCRM_TestDriveFeedBackDetails_Table.Age; CoverNoteHeaderDetails_Table.BuyerAgent; Diagnos_TransHeader_Table.Age; PatientRegistration_PatientDetails_Table.Age; PreviousYear_POSPartyDetails_Table.Agent; recbleforemail.Age; RoomCheckinDetails_Table.Age; RoomReservationDetails_Table.Age; SaudaHeaderDetails_Table.BuyerAgent; SaudaHeaderDetails_Table.SellerSubAgent; Transaction_Header_Table.Agent,Matching column(s) exist in current connector table set.
Header,Courier Details,FILLABLE_WITH_SCHEMA_EXTENSIONS,,GST3B_EligibleITCBody_Table.Details; SaudaItemDetails_Table.RD,Matching column(s) exist in ERP schema but outside current connector table set.
