sheet,column,gap_status,candidate_current_tables,candidate_any_schema,rationale
Header,Transport Amount,FILLABLE_FROM_CURRENT_ERP_TABLES,EFIMRDetailsTable.AMOUNT; Transaction_Header_Table.AmountPaid; Transaction_Header_Table.AmountPaidInCC; Transaction_Header_Table.Billdicountamount; Transaction_Header_Table.CrNoteAmount; Transaction_Header_Table.CreditAmount; Transaction_Header_Table.CreditAmountCollected; Transaction_Header_Table.SchDiscAmount,ApplicationDetails_Table.Amount; Assets_ComponentDetails_Table.Amount; AssetSale_PaymentsBody_Table.Amount; AssetSale_Summary_Table.AmountPaid; AutoCRM_Order_Table.LoanAmount; AutoCRM_Order_Table.PayableAmount; AutoCRM_Order_Table.PaidAmount; AutoCRM_Order_Table.BalanceAmount; AutoCRM_Order_Table.TotalAmount; BillwiseSalesManCommission_Table.SlabAmount; BillwiseSalesManCommission_Table.Amount; BillwiseSalesManCommission_Table.ForAmount,Matching column(s) exist in current connector table set.
Summary,Total Packages,FILLABLE_FROM_CURRENT_ERP_TABLES,Transaction_Header_Table.TotalPackages; Transaction_ItemBody_Table.Packages,AutoCRM_TestDriveFeedBackDetails_Table.Age; Diagnos_TransHeader_Table.Age; EmployeeAttendanceDetails_Table.OT; PatientRegistration_PatientDetails_Table.Age; PreviousYear_POSSales_Table.Packages; recbleforemail.Age; RoomCheckinDetails_Table.Age; RoomReservationDetails_Table.Age; SummaryAttendanceDetails_Table.OT; Transaction_Header_Table.TotalPackages; Transaction_ItemBody_Table.Packages; Transaction_ItemBody1_Table.Packages,Matching column(s) exist in current connector table set.
Summary,Total Broken,FILLABLE_WITH_SCHEMA_EXTENSIONS,,EmployeeAttendanceDetails_Table.OT; SummaryAttendanceDetails_Table.OT,Matching column(s) exist in ERP schema but outside current connector table set.
Summary,Total Broken Packages,FILLABLE_FROM_CURRENT_ERP_TABLES,Transaction_ItemBody_Table.Packages,AutoCRM_TestDriveFeedBackDetails_Table.Age; Diagnos_TransHeader_Table.Age; EmployeeAttendanceDetails_Table.OT; PatientRegistration_PatientDetails_Table.Age; PreviousYear_POSSales_Table.Packages; recbleforemail.Age; RoomCheckinDetails_Table.Age; RoomReservationDetails_Table.Age; SummaryAttendanceDetails_Table.OT; Transaction_ItemBody_Table.Packages; Transaction_ItemBody1_Table.Packages; Transaction_ReturnItemBody_Table.Packages,Matching column(s) exist in current connector table set.
Summary,Total Discount,FILLABLE_FROM_CURRENT_ERP_TABLES,Transaction_Header_Table.DiscountStructure; Transaction_Header_Table.TotalDiscount; Transaction_Header_Table.TotalGrossMinusDiscount; Transaction_Header_Table.TotalDiscountInCC; Transaction_Header_Table.Billdiscountpercent; Transaction_Header_Table.DBDiscount; Transaction_Header_Table.TotalFreeSchDiscount; Transaction_Header_Table.DiscountAccount,AssetSale_Header_Table.DiscountStructure; AssetSale_ItemBody_Table.Discount; AssetSale_Summary_Table.TotalDiscount; CoverNoteHeaderDetails_Table.TotalDiscount; CoverNoteItemDetails_Table.Discount; DayEnd_Header_Table.Discount; EmployeeAttendanceDetails_Table.OT; FeeReceivedDetails_table.DiscountAmount; FeeReceivedDetails_table.DiscountPer; FeeReceivedDetails_table.Discount; FeeReceivedDiscountDetails_table.DiscountAccount; FeeReceivedDiscountDetails_table.DiscountPer,Matching column(s) exist in current connector table set.
Summary,Total GrossMinusDisc,FILLABLE_FROM_CURRENT_ERP_TABLES,Transaction_Header_Table.TotalGross; Transaction_Header_Table.TotalGrossMinusDiscount; Transaction_ItemBody_Table.Gross; Transaction_ItemBody_Table.GrossMinusDisc; Transaction_Payments_Table.GrossMinusDisc,AssetAllotmentDetails_Table.Gross; AssetSale_ItemBody_Table.Gross; AssetSale_Summary_Table.TotalGross; CoverNoteHeaderDetails_Table.TotalGrossMinusDisc; CoverNoteHeaderDetails_Table.TotalGross; CoverNoteItemDetails_Table.GrossMinusDisc; CoverNoteItemDetails_Table.TotalGross; DayEnd_Header_Table.TotalGross; EmployeeAttendanceDetails_Table.OT; PreviousYear_POSPartyDetails_Table.TotalGross; PreviousYear_POSSales_Table.Gross; PreviousYear_POSSales_Table.GrossMinusDisc,Matching column(s) exist in current connector table set.
Summary,Total Other Chgs,FILLABLE_WITH_SCHEMA_EXTENSIONS,,EmployeeAttendanceDetails_Table.OT; LRReceiptDetails_Table.Charges; Master_ShippingAddress_Table.Charges; SummaryAttendanceDetails_Table.OT,Matching column(s) exist in ERP schema but outside current connector table set.
Summary,Total Service Tax,FILLABLE_FROM_CURRENT_ERP_TABLES,Transaction_Header_Table.TotalServiceTax,EmployeeAttendanceDetails_Table.OT; PendingDetails_Table.Tax; PendingDetails_Table_202210121.Tax; PreviousYear_POSPartyDetails_Table.TotalServiceTax; SummaryAttendanceDetails_Table.OT; Transaction_Adjustments_Table.ServiceTax; Transaction_BodyTaxes_Table.ServiceTax; Transaction_BodyTaxes_Table.TotalServiceTax; Transaction_Header_Table.TotalServiceTax; VMS_SparesPurchase_Details_Table.Tax; VMS_Vehicle_ServiceSchedule_Table.Service,Matching column(s) exist in current connector table set.
Summary,Total Excise,FILLABLE_FROM_CURRENT_ERP_TABLES,Transaction_Header_Table.TotalExcise; Transaction_Header_Table.TotalExciseInCC; Transaction_ItemBody_Table.Excise,AssetSale_ItemBody_Table.Excise; AssetSale_Summary_Table.TotalExcise; CompanyDetails_Table.Excise; EmployeeAttendanceDetails_Table.OT; PreviousYear_POSPartyDetails_Table.TotalExcise; PreviousYear_POSPartyDetails_Table.TotalExciseInCC; PreviousYear_POSSales_Table.Excise; SummaryAttendanceDetails_Table.OT; Transaction_BodyTaxes_Table.Excise; Transaction_Header_Table.TotalExcise; Transaction_Header_Table.TotalExciseInCC; Transaction_ItemBody_Table.Excise,Matching column(s) exist in current connector table set.
Summary,Total Import Fee,FILLABLE_WITH_SCHEMA_EXTENSIONS,,EmployeeAttendanceDetails_Table.OT; PermitDetails_Table.ImportFee; SummaryAttendanceDetails_Table.OT; Transaction_BodyTaxes_Table.ImportFee; User_TransactionRights_Table.import,Matching column(s) exist in ERP schema but outside current connector table set.
Summary,Total CST,FILLABLE_FROM_CURRENT_ERP_TABLES,Master_RegistrationDetails_Table.CST; Transaction_ItemBody_Table.CST,CompanyDetails_Table.cst; EmployeeAttendanceDetails_Table.OT; Master_RegistrationDetails_Table.CST; SummaryAttendanceDetails_Table.OT; Transaction_BodyTaxes_Table.CST; Transaction_ItemBody_Table.CST; Transaction_ItemBody1_Table.CST,Matching column(s) exist in current connector table set.
Summary,Total ST/VAT,FILLABLE_FROM_CURRENT_ERP_TABLES,Transaction_Header_Table.TotalSTVAT; Transaction_Header_Table.TotalSTVATInCC; Transaction_ItemBody_Table.STVAT; Transaction_ItemBody_Table.VAT,AssetSale_ItemBody_Table.STVAT; AssetSale_Summary_Table.TotalSTVAT; EmployeeAttendanceDetails_Table.OT; PreviousYear_POSPartyDetails_Table.TotalSTVAT; PreviousYear_POSPartyDetails_Table.TotalSTVATInCC; PreviousYear_POSSales_Table.STVAT; SummaryAttendanceDetails_Table.OT; Transaction_Adjustments_Table.VAT; Transaction_BodyTaxes_Table.VAT; Transaction_Header_Table.TotalSTVAT; Transaction_Header_Table.TotalSTVATInCC; Transaction_ItemBody_Table.STVAT,Matching column(s) exist in current connector table set.
Summary,Total Freight,FILLABLE_FROM_CURRENT_ERP_TABLES,Transaction_Header_Table.FreightAccount; Transaction_Header_Table.TotalFreight; Transaction_ItemBody_Table.FreightAccount; Transaction_ItemBody_Table.Freight,EmployeeAttendanceDetails_Table.OT; PermitDetails_Table.Freight; SummaryAttendanceDetails_Table.OT; Transaction_Header_Table.FreightAccount; Transaction_Header_Table.TotalFreight; Transaction_ItemBody_Table.FreightAccount; Transaction_ItemBody_Table.Freight,Matching column(s) exist in current connector table set.
Summary,Total Tax Adj,FILLABLE_FROM_CURRENT_ERP_TABLES,Transaction_ItemBody_Table.TaxAdj; Transaction_ItemBody_Table.TotalTax,EmployeeAttendanceDetails_Table.OT; PendingDetails_Table.Tax; PendingDetails_Table_202210121.Tax; RoomCheckoutDetails_Table.TotalTax; ServiceBooking_ItemBody_Table.TotalTax; ServiceBooking_LabourChargesBody_Table.TotalTax; SummaryAttendanceDetails_Table.OT; Transaction_BodyTaxes_Table.TotalTax; Transaction_BodyTaxes_Table.TaxAdj; Transaction_ItemBody_Table.TaxAdj; Transaction_ItemBody_Table.TotalTax; Transaction_ItemBody1_Table.TaxAdj,Matching column(s) exist in current connector table set.
Summary,Total Add,FILLABLE_FROM_CURRENT_ERP_TABLES,Transaction_Header_Table.TotalAdd; Transaction_Header_Table.TotalAddInCC,AssetSale_Summary_Table.TotalAdd; EmployeeAttendanceDetails_Table.OT; PreviousYear_POSPartyDetails_Table.TotalAdd; PreviousYear_POSPartyDetails_Table.TotalAddInCC; ServiceBooking_Header_Table.TotalAdd; SummaryAttendanceDetails_Table.OT; Transaction_Adjustments_Table.TotalAdd; Transaction_Header_Table.TotalAdd; Transaction_Header_Table.TotalAddInCC,Matching column(s) exist in current connector table set.
Summary,Total Less,FILLABLE_FROM_CURRENT_ERP_TABLES,Transaction_Header_Table.TotalLess; Transaction_Header_Table.TotalLessInCC,AssetSale_AdjustmentsBody_Table.Less; AssetSale_Summary_Table.TotalLess; EmployeeAttendanceDetails_Table.OT; PreviousYear_POSPartyDetails_Table.TotalLess; PreviousYear_POSPartyDetails_Table.TotalLessInCC; SummaryAttendanceDetails_Table.OT; Transaction_Adjustments_Table.TotalLess; Transaction_Header_Table.TotalLess; Transaction_Header_Table.TotalLessInCC,Matching column(s) exist in current connector table set.
Summary,Round Off Account,FILLABLE_FROM_CURRENT_ERP_TABLES,Transaction_Header_Table.Account; Transaction_Header_Table.roundoff,AssetSale_AdjustmentsBody_Table.Account; AssetSale_Reference_Table.Account; BillWiseBalances2020.Account; billwiseOpeningBalances.Account; BudgetDetails_Table.Account; deleteddutydrawback.Account; Diagnos_TransHeader_Table.Account; EmailHistoryDetails_Table.cc; FeeReceivableDetails_table.Account; FeeReceivedDetails_table.Account; LastYearCreditorBalances.Account; ledbak2118.Account,Matching column(s) exist in current connector table set.
Summary,Round off,FILLABLE_FROM_CURRENT_ERP_TABLES,Transaction_Header_Table.roundoff; Transaction_Header_Table.roundoffDr; Transaction_Header_Table.roundoffCr,Company_Details_Table.nearestroundoff; PreviousYear_POSPartyDetails_Table.roundoff; PreviousYear_POSPartyDetails_Table.roundoffDr; PreviousYear_POSPartyDetails_Table.roundoffCr; ProductMarginDetails_Table.Roundoff; Transaction_Header_Table.roundoff; Transaction_Header_Table.roundoffDr; Transaction_Header_Table.roundoffCr,Matching column(s) exist in current connector table set.
Summary,Round off Dr,FILLABLE_FROM_CURRENT_ERP_TABLES,Transaction_Header_Table.roundoff; Transaction_Header_Table.roundoffDr,PreviousYear_POSPartyDetails_Table.roundoff; PreviousYear_POSPartyDetails_Table.roundoffDr; ProductMarginDetails_Table.Roundoff; Transaction_Header_Table.roundoff; Transaction_Header_Table.roundoffDr,Matching column(s) exist in current connector table set.
Summary,Round off Cr,FILLABLE_FROM_CURRENT_ERP_TABLES,Transaction_Header_Table.roundoff; Transaction_Header_Table.roundoffCr,PreviousYear_POSPartyDetails_Table.roundoff; PreviousYear_POSPartyDetails_Table.roundoffCr; ProductMarginDetails_Table.Roundoff; Transaction_Header_Table.roundoff; Transaction_Header_Table.roundoffCr,Matching column(s) exist in current connector table set.
Summary,Taxable Advance,FILLABLE_WITH_SCHEMA_EXTENSIONS,,Employee_PaydetailsBySimplePaystructure_Table.Advance; Employee_SimplePaystructureDetails_Table.Advance; PendingDetails_Table.Tax; PendingDetails_Table_202210121.Tax; RoomCheckoutDetails_Table.Advance; VMS_SparesPurchase_Details_Table.Tax,Matching column(s) exist in ERP schema but outside current connector table set.
Summary,LedgerCrBalance,FILLABLE_WITH_SCHEMA_EXTENSIONS,,AutoCRM_OrderPriceDetails_Table.Balance; BankPassbookDetails_Table.balance; Master_Balance_table.Balance; OpeningUnClearedCheques.Balance; pkgRates.Balance; temp_adjbills.BAL; temp_adjbillspay.Bal; tempobstoimport.balance; tempsproduct.Balance; trendanalysis.Balance,Matching column(s) exist in ERP schema but outside current connector table set.
Summary,TDS Nature,FILLABLE_FROM_CURRENT_ERP_TABLES,Transaction_Payments_Table.TDSNature,Employee_PaydetailsBySimplePaystructure_Table.TDS; Employee_SimplePaystructureDetails_Table.TDS; Transaction_Adjustments_Table.TDSNature; Transaction_Payments_Table.TDSNature; Transaction_TDSDeductionProcess_Table.TDSNature; Transaction_TDSDetails_Table.TDSNature,Matching column(s) exist in current connector table set.
Summary,TDS Account,FILLABLE_FROM_CURRENT_ERP_TABLES,Transaction_Header_Table.Account; Transaction_Payments_Table.TDSAccount,AssetSale_AdjustmentsBody_Table.Account; AssetSale_Reference_Table.Account; BillWiseBalances2020.Account; billwiseOpeningBalances.Account; BudgetDetails_Table.Account; deleteddutydrawback.Account; Diagnos_TransHeader_Table.Account; EmailHistoryDetails_Table.cc; Employee_PaydetailsBySimplePaystructure_Table.TDS; Employee_SimplePaystructureDetails_Table.TDS; FeeReceivableDetails_table.Account; FeeReceivedDetails_table.Account,Matching column(s) exist in current connector table set.
Summary,TDS Rate,FILLABLE_FROM_CURRENT_ERP_TABLES,Transaction_ItemBody_Table.Rate; Transaction_Payments_Table.TDSRate,AssetAllotmentDetails_Table.Rate; Assets_ComponentDetails_Table.Rate; AssetSale_ItemBody_Table.Rate; BarcodeDetails_Table.Rate; BarcodeDetails_Table1.Rate; ConsumablesIssuebody_table.Rate; Diagnos_DiagnosticTest_Inventory_Table.Rate; Employee_PaydetailsBySimplePaystructure_Table.TDS; Employee_SimplePaystructureDetails_Table.TDS; FillingStationCreditBill_Body_Table.Rate; FillingStationSummaryBill_Body_Table.Rate; FocusOPRates.Rate,Matching column(s) exist in current connector table set.
Summary,TDS Amount,FILLABLE_FROM_CURRENT_ERP_TABLES,EFIMRDetailsTable.AMOUNT; Transaction_Header_Table.TotalTDSAmount; Transaction_Payments_Table.Amount; Transaction_Payments_Table.TDSAmount,ApplicationDetails_Table.Amount; Assets_ComponentDetails_Table.Amount; AssetSale_PaymentsBody_Table.Amount; BillwiseSalesManCommission_Table.Amount; BudgetDetails_Table.Amount; Class_FeeBody_Table.Amount; ConsumablesIssuebody_table.Amount; Diagnos_InvestigationReceiptDetails_Table.Amount; EFIMRDetailsTable.AMOUNT; Employee_PaydetailsBySimplePaystructure_Table.TDS; Employee_SimplePaystructureDetails_Table.TDS; EmployeeAdhocComponentDetails_Table.Amount,Matching column(s) exist in current connector table set.
Summary,TCS Rate,FILLABLE_FROM_CURRENT_ERP_TABLES,Transaction_ItemBody_Table.Rate,AssetAllotmentDetails_Table.Rate; Assets_ComponentDetails_Table.Rate; AssetSale_ItemBody_Table.Rate; BarcodeDetails_Table.Rate; BarcodeDetails_Table1.Rate; ConsumablesIssuebody_table.Rate; Diagnos_DiagnosticTest_Inventory_Table.Rate; FillingStationCreditBill_Body_Table.Rate; FillingStationSummaryBill_Body_Table.Rate; FocusOPRates.Rate; InspectionServiceCall_MachineDetails_Table.Rate; IssuestoProduction_ItemBody_Table.Rate,Matching column(s) exist in current connector table set.
Summary,TCS Amount,FILLABLE_FROM_CURRENT_ERP_TABLES,EFIMRDetailsTable.AMOUNT; Transaction_Payments_Table.Amount,ApplicationDetails_Table.Amount; Assets_ComponentDetails_Table.Amount; AssetSale_PaymentsBody_Table.Amount; BillwiseSalesManCommission_Table.Amount; BudgetDetails_Table.Amount; Class_FeeBody_Table.Amount; ConsumablesIssuebody_table.Amount; Diagnos_InvestigationReceiptDetails_Table.Amount; EFIMRDetailsTable.AMOUNT; EmployeeAdhocComponentDetails_Table.Amount; EmployeePayslipDetails_Table.Amount; FeeReceivableDetails_table.Amount,Matching column(s) exist in current connector table set.
Summary,Advance Amount,FILLABLE_FROM_CURRENT_ERP_TABLES,EFIMRDetailsTable.AMOUNT; Transaction_Header_Table.AdvanceAmount; Transaction_Payments_Table.Amount; Transaction_Payments_Table.TDSAdvanceAmount,ApplicationDetails_Table.Amount; Assets_ComponentDetails_Table.Amount; AssetSale_PaymentsBody_Table.Amount; BillwiseSalesManCommission_Table.Amount; BudgetDetails_Table.Amount; Class_FeeBody_Table.Amount; ConsumablesIssuebody_table.Amount; Diagnos_InvestigationReceiptDetails_Table.Amount; EFIMRDetailsTable.AMOUNT; Employee_PaydetailsBySimplePaystructure_Table.Advance; Employee_SimplePaystructureDetails_Table.Advance; EmployeeAdhocComponentDetails_Table.Amount,Matching column(s) exist in current connector table set.
Summary,Amount Paid,FILLABLE_FROM_CURRENT_ERP_TABLES,EFIMRDetailsTable.AMOUNT; Master_Table.ID; Transaction_Header_Table.AmountPaid; Transaction_Header_Table.AmountPaidInCC; Transaction_Payments_Table.Amount; Transaction_Payments_Table.AmountPaid,ApplicationDetails_Table.Amount; Assets_ComponentDetails_Table.Amount; AssetSale_PaymentsBody_Table.Amount; AssetSale_Summary_Table.AmountPaid; AutoCRM_OrderPriceDetails_Table.Paid; BillwiseSalesManCommission_Table.Amount; BudgetDetails_Table.Amount; Cache_Master_Table.ID; CalculationsDetails.Id; Class_FeeBody_Table.Amount; ConsumablesIssuebody_table.Amount; Diagnos_InvestigationReceiptDetails_Table.Amount,Matching column(s) exist in current connector table set.
Summary,PendingName,FILLABLE_WITH_SCHEMA_EXTENSIONS,,ApplicationForm_Header_Table.Name; CustomersWithMKTGNGroup.Name; MainScreens.name; ModuleDetails.Name; PendingDetails_Table.PendingName; PendingDetails_Table_202210121.PendingName; previousYearDataBase_Table.Name; ReportOperations.name; RoomCheckinDetails_Table.Name; RoomCheckoutDetails_Table.Name; RoomReservationDetails_Table.Name; ScreenOperations.name,Matching column(s) exist in ERP schema but outside current connector table set.
Summary,PendingNo,FILLABLE_FROM_CURRENT_ERP_TABLES,Transaction_Header_Table.PendingNo; Transaction_Payments_Table.PendingNo,KOT_CancellationOrBill_Table.kotpendingno; KOT_ItemBodyDetails_Table.PendingNo; PendingAdjustedDetails_Table.PendingNo; PendingAdjustedDetails_Tablebak.PendingNo; PendingDetails_Table.PendingNo; PendingDetails_Table_202210121.PendingNo; PreviousYear_POSPartyDetails_Table.PendingNo; siddivinayakaadjustments.PendingNo; temp_adjbills.PendingNo; temp_adjbillspay.PendingNo; Transaction_Header_Table.PendingNo; Transaction_Payments_Table.PendingNo,Matching column(s) exist in current connector table set.
Summary,PendingValue,FILLABLE_FROM_CURRENT_ERP_TABLES,Transaction_Header_Table.PendingValue,AdvanceLicenseDetails_Table.Value; Asset_Components_Table.Value; EPCGLicenseDetails_Table.Value; PendingDetails_Table.PendingValue; PendingDetails_Table_202210121.PendingValue; temp_adjbills.PendingValue; temp_adjbillspay.PendingValue; Transaction_Header_Table.PendingValue,Matching column(s) exist in current connector table set.
Advance Set Off Body,Sno,FILLABLE_FROM_CURRENT_ERP_TABLES,Master_MasterCodes_Table.VoucherLineNo; Master_RegistrationDetails_Table.VoucherLineNo; Master_Table.VoucherLineNo; Transaction_Header_Table.VoucherLineNo; Transaction_ItemBody_Table.VoucherLineNo; Transaction_Payments_Table.VoucherLineNo,AcadamicYearDetails_Table.VoucherLineNo; Account_AccountGroup_Table.VoucherLineNo; AccountingPeriod_Status_Table.VoucherLineNo; AdvanceLicenseDetails_Table.VoucherLineNo; An_CurrentStatus.VoucherLineNo; Apparel_ReorderLevels_Table.VoucherLineNo; ApparelPhysicalStockCheckedItems_Table.VoucherLineNO; ApparelPhysicalStockUpdate_Barcode_Table.VoucherLineNo; ApparelPhysicalStockUpdate_Header_Table.VoucherLineNo; ApparelPhysicalStockUpdate_ItemBody_Table.VoucherLineNo; ApplicationDetails_Table.VoucherLineNo; ApplicationForm_Header_Table.VoucherLineNo,Matching column(s) exist in current connector table set.
Advance Set Off Body,rid,FILLABLE_FROM_CURRENT_ERP_TABLES,Master_Table.ID; Transaction_Header_Table.voucherid; Transaction_ItemBody_Table.RID; Transaction_ItemBody_Table.TVRID; Transaction_Payments_Table.rid,AssetStockLedger_Table.RID; BillWiseBalances2020.Rid; billwiseOpeningBalances.Rid; Cache_Master_Table.ID; CalculationsDetails.Id; ConsumablesIssuebody_table.RID; ConsumablesIssuebody_table.TVRID; deleteddutydrawback.RID; DeliveryPackingListDetails_Table.Rid; DeliveryPackingListDetails_Table.TVRid; Diagnos_DiagnosticTestResults_Table.RID; Diagnos_DiagnosticTestResults_Table.TVRID,Matching column(s) exist in current connector table set.
Advance Set Off Body,tvrid,FILLABLE_FROM_CURRENT_ERP_TABLES,Master_Table.ID; Transaction_ItemBody_Table.RID; Transaction_ItemBody_Table.TVRID; Transaction_Payments_Table.rid,AssetStockLedger_Table.RID; BillWiseBalances2020.Rid; billwiseOpeningBalances.Rid; Cache_Master_Table.ID; CalculationsDetails.Id; ConsumablesIssuebody_table.RID; ConsumablesIssuebody_table.TVRID; deleteddutydrawback.RID; DeliveryPackingListDetails_Table.Rid; DeliveryPackingListDetails_Table.TVRid; Diagnos_DiagnosticTestResults_Table.RID; Diagnos_DiagnosticTestResults_Table.TVRID,Matching column(s) exist in current connector table set.
Advance Set Off Body,Towards Vno,FILLABLE_FROM_CURRENT_ERP_TABLES,Transaction_Payments_Table.TowardsVNo,BillWiseBalances2020.Vno; billwiseOpeningBalances.Vno; ConsumablesIssuebody_table.TowardsVno; InspectionServiceCall_MachineDetails_Table.TowardsVno; IssuestoProduction_Header_Table.TowardsVNo; LastYearCreditorBalances.Vno; OldYearCreditorsBillWiseBalances.Vno; OpeningUnClearedCheques.VNo; recbleforemail.Vno; ReceiptsfromProduction_Header_Table.TowardsVNo; SaudaItemDetails_Table.RD; Survey_Header_Table.ARD,Matching column(s) exist in current connector table set.
Advance Set Off Body,Amount,FILLABLE_FROM_CURRENT_ERP_TABLES,EFIMRDetailsTable.AMOUNT; Transaction_Header_Table.AmountPaid; Transaction_Header_Table.AmountPaidInCC; Transaction_Header_Table.Billdicountamount; Transaction_Header_Table.CrNoteAmount; Transaction_Header_Table.CreditAmount; Transaction_Header_Table.CreditAmountCollected; Transaction_Header_Table.SchDiscAmount,ApplicationDetails_Table.Amount; Assets_ComponentDetails_Table.Amount; AssetSale_PaymentsBody_Table.Amount; AssetSale_Summary_Table.AmountPaid; AutoCRM_Order_Table.LoanAmount; AutoCRM_Order_Table.PayableAmount; AutoCRM_Order_Table.PaidAmount; AutoCRM_Order_Table.BalanceAmount; AutoCRM_Order_Table.TotalAmount; BillwiseSalesManCommission_Table.SlabAmount; BillwiseSalesManCommission_Table.Amount; BillwiseSalesManCommission_Table.ForAmount,Matching column(s) exist in current connector table set.
Advance Set Off Body,Amount Adjusted,FILLABLE_FROM_CURRENT_ERP_TABLES,EFIMRDetailsTable.AMOUNT; Transaction_Payments_Table.Amount,ApplicationDetails_Table.Amount; Assets_ComponentDetails_Table.Amount; AssetSale_PaymentsBody_Table.Amount; BillwiseSalesManCommission_Table.Amount; BudgetDetails_Table.Amount; Class_FeeBody_Table.Amount; ConsumablesIssuebody_table.Amount; Diagnos_InvestigationReceiptDetails_Table.Amount; EFIMRDetailsTable.AMOUNT; EmployeeAdhocComponentDetails_Table.Amount; EmployeePayslipDetails_Table.Amount; FeeReceivableDetails_table.Amount,Matching column(s) exist in current connector table set.
Advance Set Off Body,Source Exchange Rate,FILLABLE_FROM_CURRENT_ERP_TABLES,Transaction_Header_Table.ExchangeRate; Transaction_ItemBody_Table.Rate; Transaction_ItemBody_Table.ExchangeRate; Transaction_Payments_Table.ExchangeRate,AssetAllotmentDetails_Table.Rate; Assets_ComponentDetails_Table.Rate; AssetSale_ItemBody_Table.Rate; BarcodeDetails_Table.Rate; BarcodeDetails_Table1.Rate; BillWiseBalances2020.ExchangeRate; billwiseOpeningBalances.ExchangeRate; ConsumablesIssuebody_table.Rate; deleteddutydrawback.ExchangeRate; Diagnos_DiagnosticTest_Inventory_Table.Rate; ExchangeRateDetails_Table.ExchangeRate; FillingStationCreditBill_Body_Table.Rate,Matching column(s) exist in current connector table set.
Advance Set Off Body,Exchange Account,FILLABLE_FROM_CURRENT_ERP_TABLES,Transaction_Header_Table.Account,AssetSale_AdjustmentsBody_Table.Account; AssetSale_Reference_Table.Account; BillWiseBalances2020.Account; billwiseOpeningBalances.Account; BudgetDetails_Table.Account; deleteddutydrawback.Account; Diagnos_TransHeader_Table.Account; EmailHistoryDetails_Table.cc; FeeReceivableDetails_table.Account; FeeReceivedDetails_table.Account; LastYearCreditorBalances.Account; ledbak2118.Account,Matching column(s) exist in current connector table set.
Advance Set Off Body,Exchange Amt,REQUIRES_NEW_FIELD_OR_TABLE,,,No close column match found in full script.sql schema.
Advance Set Off Body,Exchange Loss,FILLABLE_WITH_SCHEMA_EXTENSIONS,,Transaction_ExchangeDifferenceDetails_Table.ExchangeLoss; Transaction_ExchangeDifferenceDetails_Table1.ExchangeLoss,Matching column(s) exist in ERP schema but outside current connector table set.
Advance Set Off Body,Exchange Gain,FILLABLE_WITH_SCHEMA_EXTENSIONS,,Transaction_ExchangeDifferenceDetails_Table.ExchangeGain; Transaction_ExchangeDifferenceDetails_Table1.ExchangeGain,Matching column(s) exist in ERP schema but outside current connector table set.
Voucher,VSeries,FILLABLE_FROM_CURRENT_ERP_TABLES,Master_MasterCodes_Table.VoucherSeries; Master_RegistrationDetails_Table.VoucherSeries; Master_Table.VoucherSeries; Transaction_Header_Table.VoucherSeries; Transaction_Header_Table.ReferenceVoucherSeries; Transaction_ItemBody_Table.VoucherSeries; Transaction_ItemBody_Table.TVoucherSeries; Transaction_Payments_Table.VoucherSeries,AcadamicYearDetails_Table.VoucherSeries; Account_AccountGroup_Table.VoucherSeries; AccountingPeriod_Status_Table.VoucherSeries; AdvanceLicenseDetails_Table.VoucherSeries; An_CurrentStatus.VoucherSeries; An_SendMessage.VoucherSeries; Apparel_ReorderLevels_Table.VoucherSeries; ApparelPhysicalStockCheckedItems_Table.VoucherSeries; ApparelPhysicalStockUpdate_Barcode_Table.VoucherSeries; ApparelPhysicalStockUpdate_Header_Table.VoucherSeries; ApparelPhysicalStockUpdate_ItemBody_Table.VoucherSeries; ApplicationDetails_Table.VoucherSeries,Matching column(s) exist in current connector table set.
Voucher,VoucherSeries,FILLABLE_FROM_CURRENT_ERP_TABLES,Master_MasterCodes_Table.VoucherSeries; Master_RegistrationDetails_Table.VoucherSeries; Master_Table.VoucherSeries; Transaction_Header_Table.VoucherSeries; Transaction_Header_Table.ReferenceVoucherSeries; Transaction_ItemBody_Table.VoucherSeries; Transaction_ItemBody_Table.TVoucherSeries; Transaction_Payments_Table.VoucherSeries,AcadamicYearDetails_Table.VoucherSeries; Account_AccountGroup_Table.VoucherSeries; AccountingPeriod_Status_Table.VoucherSeries; AdvanceLicenseDetails_Table.VoucherSeries; An_CurrentStatus.VoucherSeries; An_SendMessage.VoucherSeries; Apparel_ReorderLevels_Table.VoucherSeries; ApparelPhysicalStockCheckedItems_Table.VoucherSeries; ApparelPhysicalStockUpdate_Barcode_Table.VoucherSeries; ApparelPhysicalStockUpdate_Header_Table.VoucherSeries; ApparelPhysicalStockUpdate_ItemBody_Table.VoucherSeries; ApplicationDetails_Table.VoucherSeries,Matching column(s) exist in current connector table set.
